DRR091843_1.hairpin	DRR091838_1.hairpin	DRR091844_1.hairpin	DRR091849_1.hairpin	DRR091841_1.hairpin	DRR091842_1.hairpin	DRR091839_1.hairpin	DRR091845_1.hairpin	DRR091840_1.hairpin	DRR091847_1.hairpin	DRR091846_1.hairpin	DRR091837_1.hairpin	DRR091848_1.hairpin
DRR091843_1.hairpin	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR091838_1.hairpin	1.48701938909344	0	0	0	0	0	0	0	0	0	0	0	0
DRR091844_1.hairpin	1.64698607475208	1.86710625464817	0	0	0	0	0	0	0	0	0	0	0
DRR091849_1.hairpin	2.26050694035656	2.52448703270646	2.39360136626376	0	0	0	0	0	0	0	0	0	0
DRR091841_1.hairpin	1.63281290689068	1.87407167586048	1.93985137304077	2.01058420615568	0	0	0	0	0	0	0	0	0
DRR091842_1.hairpin	1.45770214015575	1.73814190037262	1.63089153993413	2.12313844233058	1.62604469114211	0	0	0	0	0	0	0	0
DRR091839_1.hairpin	1.63566947396712	1.21677501343194	1.77019156299844	2.46001469306334	1.9839520759993	1.74918511536194	0	0	0	0	0	0	0
DRR091845_1.hairpin	1.8665987779021	2.10185815532085	1.87704995520307	2.27953261344059	1.75338798678589	1.71425398422154	2.13320789812256	0	0	0	0	0	0
DRR091840_1.hairpin	1.46879337263053	1.08415816633664	1.78008142176827	2.46986754087729	1.89621604101324	1.73486452204185	1.14107655919289	2.11569494634231	0	0	0	0	0
DRR091847_1.hairpin	3.10602416339111	3.29339549760704	2.92471186691214	2.59969450564279	2.88127842378345	2.94787857910769	3.08185494858744	2.82044960495758	3.22154557061576	0	0	0	0
DRR091846_1.hairpin	3.02133597933264	3.16124914404839	2.83112201498713	2.44035959887095	2.75146176070981	2.8155250162033	2.98551973543179	2.7274701161578	3.08507372374766	1.64496375748031	0	0	0
DRR091837_1.hairpin	1.59865618840365	1.1776165216549	1.69909390187942	2.46776501446464	1.89126719309494	1.68978351469187	1.14448682126509	2.00869639424042	1.12329360831408	3.14124367613632	2.99778224042324	0	0
DRR091848_1.hairpin	2.21516878689212	2.46375975843994	2.39566809140286	1.59714221730807	2.00813623115106	2.06652204433097	2.43918995980623	2.31111456771939	2.39387369271025	2.71294208441115	2.44554979375988	2.38958551256198	0
