DRR091846_1.hairpin	DRR091847_1.hairpin	DRR091848_1.hairpin	DRR091849_1.hairpin	DRR091841_1.hairpin	DRR091845_1.hairpin	DRR091844_1.hairpin	DRR091842_1.hairpin	DRR091843_1.hairpin	DRR091837_1.hairpin	DRR091839_1.hairpin	DRR091840_1.hairpin	DRR091838_1.hairpin
DRR091846_1.hairpin	0	42.366586949872	59.536304091113	59.6027745949552	66.1965187740349	65.9575666457224	68.3338354626156	67.7746055271393	72.6352179065631	72.1991563131168	71.9217283448331	74.4852787829196	75.8674197659426
DRR091847_1.hairpin	42.366586949872	0	67.2894863516202	65.5903259933799	70.5916639730445	70.2044698160032	73.085135597476	72.9462325672116	77.2766771231758	78.0438806582939	76.8915021751713	80.1223506336214	81.4977279188793
DRR091848_1.hairpin	59.536304091113	67.2894863516202	0	40.1128178463507	49.1618555124469	55.6318215723206	57.2105808992305	50.1449073783347	53.6021642016969	57.1671328327108	58.6043339799979	57.4645443053933	58.8581936325955
DRR091849_1.hairpin	59.6027745949552	65.5903259933799	40.1128178463507	0	48.4614846294497	54.4071575743498	57.0092462046115	51.0016893606144	53.8369663685368	58.5976444427429	58.305953319806	59.0959257938225	59.8198043938549
DRR091841_1.hairpin	66.1965187740349	70.5916639730445	49.1618555124469	48.4614846294497	0	42.4227457369424	46.7079963798864	39.8402695907742	40.1260123674484	46.2452664714829	47.9327210786715	46.1227984062703	45.5344195897827
DRR091845_1.hairpin	65.9575666457224	70.2044698160032	55.6318215723206	54.4071575743498	42.4227457369424	0	44.826671493644	41.3245228008948	44.77839597065	47.9838428939787	50.8797113838844	50.3534623311136	49.8337212296984
DRR091844_1.hairpin	68.3338354626156	73.085135597476	57.2105808992305	57.0092462046115	46.7079963798864	44.826671493644	0	39.0543385304273	39.241235644361	40.1933483004619	42.2578835245838	42.2510003083245	44.3308582748993
DRR091842_1.hairpin	67.7746055271393	72.9462325672116	50.1449073783347	51.0016893606144	39.8402695907742	41.3245228008948	39.0543385304273	0	35.5109948965681	41.1620209587789	42.4816543279944	42.2915197536368	42.0348983721586
DRR091843_1.hairpin	72.6352179065631	77.2766771231758	53.6021642016969	53.8369663685368	40.1260123674484	44.77839597065	39.241235644361	35.5109948965681	0	38.7560449254424	39.5326935424371	35.9311401741689	36.0126053082049
DRR091837_1.hairpin	72.1991563131168	78.0438806582939	57.1671328327108	58.5976444427429	46.2452664714829	47.9838428939787	40.1933483004619	41.1620209587789	38.7560449254424	0	28.4287522964495	27.9889620494989	28.9050476244209
DRR091839_1.hairpin	71.9217283448331	76.8915021751713	58.6043339799979	58.305953319806	47.9327210786715	50.8797113838844	42.2578835245838	42.4816543279944	39.5326935424371	28.4287522964495	0	28.4839080866649	30.0502993234843
DRR091840_1.hairpin	74.4852787829196	80.1223506336214	57.4645443053933	59.0959257938225	46.1227984062703	50.3534623311136	42.2510003083245	42.2915197536368	35.9311401741689	27.9889620494989	28.4839080866649	0	26.4481877763707
DRR091838_1.hairpin	75.8674197659426	81.4977279188793	58.8581936325955	59.8198043938549	45.5344195897827	49.8337212296984	44.3308582748993	42.0348983721586	36.0126053082049	28.9050476244209	30.0502993234843	26.4481877763707	0
