DRR091843_1.hairpin	DRR091838_1.hairpin	DRR091844_1.hairpin	DRR091849_1.hairpin	DRR091841_1.hairpin	DRR091842_1.hairpin	DRR091839_1.hairpin	DRR091845_1.hairpin	DRR091840_1.hairpin	DRR091847_1.hairpin	DRR091846_1.hairpin	DRR091837_1.hairpin	DRR091848_1.hairpin
hsa-mir-143	456881.790751797	527393.924572105	502511.158960224	47627.8239859252	112076.719262819	173127.354430108	702667.50174249	205868.373093812	725144.925027497	25982.8753304908	52293.3930356198	481591.875435786	27305.9817124983
hsa-mir-148a	53035.3072714947	37848.7344715788	36173.1696299827	13793.0083687807	123765.941425565	100181.571701745	23153.9229117284	256009.116472035	38109.1708050654	17333.4909063875	36331.4813391443	28790.0990765321	83710.5789622966
hsa-mir-21	88878.3707296383	34539.0517667652	79305.7196856867	117509.520020416	99979.0014753367	127088.872990138	36093.0566179403	27627.3720671552	44676.2820833289	25917.4222552992	26575.7227876331	19069.9233161901	58820.9882444736
hsa-mir-30d	30050.3510623584	25965.3975219148	19476.4129653859	131867.252845898	41681.5666032729	35182.2503398594	18684.9761135664	21528.9861890039	24634.3150058539	32634.3445447814	54975.9811744942	18723.938135402	74452.3276520504
hsa-mir-30a	20921.6844217881	40100.389228169	11773.9643230559	27689.2312719182	40793.1431016962	7295.22377265395	37288.4322662046	11563.0590394534	39360.9152939602	15442.5355999367	40492.3958187128	25448.679538273	18824.5638420884
hsa-let-7a-1	15791.1719633621	17721.8194497817	14706.6622341931	22629.4456405422	58392.8393036858	18367.3387006729	9698.62134231258	45174.5187466088	12899.003727537	9390.12166529634	26447.6552444023	14753.6927134733	20151.0976029884
hsa-mir-10b	28174.7809503186	38625.4542581892	19199.111530361	16542.0615613849	34100.7885809611	10152.6362988549	18857.7834040131	9437.38233821915	32742.1302834934	29300.6278552956	31920.4082584649	17205.2697934901	8264.97336899108
hsa-let-7a-2	15377.7942853711	17267.4443219331	14323.0895905358	22227.500053003	52845.337962415	17566.2017047476	9505.52797863947	42703.5802076462	12595.9889618964	8993.41217297635	25858.1176537298	14356.4935782539	19844.5633267286
hsa-let-7a-3	15272.9128097653	17072.074911595	14204.9182205202	22192.9436450245	52779.7171477715	17456.4667357444	9410.48396889375	42257.2083900151	12461.6372581676	8995.40769356146	25804.7561773837	14156.0025861908	19993.0587606826
hsa-mir-92a-1	18508.3255020731	23296.2410117256	20371.4158005862	8224.42509887937	17085.1418436221	21834.7485545682	14538.7281469125	56255.0227983655	22616.9725006339	12111.6126392701	9941.02959738509	27598.2106824966	8278.71587701766
hsa-let-7b	15480.8674596733	16366.12821427	9193.28979051317	31292.1914932539	40263.5758632257	14300.6898493779	10020.5688377753	16429.8644935042	13173.0812031438	3779.51598819944	20237.660073141	13422.1298982617	30086.1674335441
hsa-mir-101-2	24290.9114105585	23229.6310453394	18199.7747221023	8305.81453346027	16273.235601925	13941.3616175439	38076.2081098282	17642.84609187	26157.243241352	12389.3891047175	9342.95417049727	16422.2200697719	4754.52604086573
hsa-mir-101-1	23935.7610345417	22865.9525235077	17931.6059690692	8194.87027626619	16076.6153012217	13780.703885147	37467.2502450147	17262.7537259477	25689.2859225182	12302.7835113237	9253.73378204649	16132.9776225866	4712.15330778374
hsa-mir-26a-2	17011.0520227355	20668.4183646063	15851.845206382	6672.5695668982	12366.2546267437	10655.4089346147	18843.8836871728	17729.0770111851	22782.3284436847	21605.5013749922	28683.714549212	19401.3590781057	10097.6895088703
hsa-mir-26a-1	16942.3365732007	20606.8636188833	15879.5200002967	6604.82081967723	11904.4874919639	10547.1084096507	18772.1310948352	17282.3670330861	22709.1584388847	21391.5815682684	28505.7006641212	19395.5393105567	10023.2509237263
hsa-mir-100	25030.1449834489	35012.7556795027	16327.5749137751	2046.10310398923	5638.78933802584	14794.4972098923	40287.3900915012	7245.08802480813	38360.5118385027	1264.76094684308	1359.65041730028	18556.0378416133	5158.02134597974
hsa-mir-27b	20302.883715714	26920.2394954239	21378.7782990801	2035.19055410128	8814.9820527115	14259.0909722394	26900.8357702413	9366.03047949175	28895.9510481312	1421.60886483278	3725.9117243946	30510.7133523943	4444.55613759933
hsa-mir-92a-2	13876.9042034263	19869.9908657361	15417.3509419217	4747.41389083367	8296.55340270449	12841.860261453	11877.8715420552	37120.5508825782	18530.2003681328	5659.69548349062	4672.33086887018	23081.1980993392	4849.19665171556
hsa-mir-125b-2	15651.2094424675	17777.7242429987	19755.9283839241	2152.50046539667	13310.3710706378	9320.30014507575	18632.0069223642	10967.2202950094	19257.3531276988	656.925376618402	1047.5925036279	31540.5212201901	4391.11305082926
hsa-mir-151a	11322.8594422953	13515.8758579683	9672.06372523691	23384.2303411249	13682.7873544822	10296.7979248003	10250.1019996513	10170.8523930994	11796.0795873881	5765.45807450148	15794.1432148432	11493.1679441453	23784.0822943508
hsa-mir-30e	11940.936827848	17536.5604807701	10383.582676783	25989.6016268712	16363.0707393152	9626.19533644742	15000.4241468235	12021.2664734611	16968.4134860178	4647.96654683956	1538.94497782339	12164.1871425451	9810.2420493142
hsa-mir-125b-1	12665.3423300493	13548.5861093186	17352.0957844961	1797.84259403853	8464.8429457941	7831.70584333626	14006.0308907092	9340.33028393117	15500.8794914417	473.736586905251	632.226771749359	28095.8008079362	3263.46391998082
hsa-mir-10a	13537.30521862	14727.344621617	11160.4141419677	26675.7282010756	4997.59407169302	8978.54385272265	10199.7624846082	1683.02464875006	10946.5634299645	6356.53127181124	5440.30923644418	5436.24486752213	12310.2333011512
hsa-mir-99b	13186.4947657317	15919.1872344555	6234.57757309614	7215.46892382334	10710.7213805513	9116.25048049137	14249.4637694255	3431.65242827318	17457.040297733	3235.93618081531	2926.34336282367	7838.35392337243	9634.26159930704
hsa-mir-146b	15637.4663525605	3047.10859624661	24095.3360697438	9008.30993249657	2804.98714697863	17268.9131776115	6083.94362779379	1374.2841415552	11169.7939530831	15106.4899334041	7101.34527214759	2411.71167230615	6967.8333058147
hsa-let-7c	5886.0207430483	7154.62406808758	5041.793955374	963.487217189594	19156.6771546029	5162.56409728782	6617.76788806516	8361.69388982173	6293.44719251431	628.18988019281	3808.30184387308	9528.99639635732	2191.54829390688
hsa-mir-200b	3548.97213834304	10656.9998899469	140.311205147361	15554.0211069474	16513.6838267998	515.324021103265	4719.14170128716	20.9659490099465	6571.65856669731	8.78029057448654	32.0168858076988	6855.68617272356	17473.5989558079
hsa-mir-191	7861.40908704399	3295.40914058797	2058.72791931206	14508.6897655983	7247.34679808964	5521.89232912183	1741.59695328509	6105.14908750926	2694.06170215553	2428.14944796255	5921.84319899197	2055.25090992982	22102.533742764
