DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
DRR091839_1.mature	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR091842_1.mature	1.79480211687451	0	0	0	0	0	0	0	0	0	0	0	0
DRR091837_1.mature	1.14510398024717	1.70546689413143	0	0	0	0	0	0	0	0	0	0	0
DRR091838_1.mature	1.07071862902469	1.74759280765076	1.09809511688226	0	0	0	0	0	0	0	0	0	0
DRR091840_1.mature	1.07722223097151	1.78240611855745	1.07787850404125	0.974383810960412	0	0	0	0	0	0	0	0	0
DRR091848_1.mature	2.52749793618368	2.1638107097626	2.41680940496428	2.4417841543453	2.50084680494147	0	0	0	0	0	0	0	0
DRR091841_1.mature	1.94374449227961	1.52290944517766	1.83474253183322	1.78183626360686	1.86408940382126	2.21098661616472	0	0	0	0	0	0	0
DRR091847_1.mature	2.79783884147245	2.64510803120568	2.83480034727548	2.84407436624808	2.80784816163813	2.72863758464603	2.53587697689465	0	0	0	0	0	0
DRR091844_1.mature	1.70356030397333	1.59251866544517	1.61909274823161	1.81670577730987	1.74205028311786	2.48568924387413	1.85442821344055	2.6056861520998	0	0	0	0	0
DRR091849_1.mature	2.50564187143398	2.19220131839171	2.50031206771664	2.48703542308489	2.51849405411667	1.77975475122602	2.06288952662742	2.51399723300482	2.42834399190822	0	0	0	0
DRR091845_1.mature	2.10658111337676	1.67964512689612	1.9928362248326	2.01684909754882	2.08364929799507	2.39211609324282	1.61339200533705	2.47145726268074	1.84563212350744	2.22528019439307	0	0	0
DRR091846_1.mature	2.86307586774241	2.68037126206023	2.79057844035472	2.81857727415604	2.81491255730236	2.44396074479917	2.52331361048425	1.9047784034987	2.65577128907261	2.49411544270468	2.58850557197158	0	0
DRR091843_1.mature	1.4957050599952	1.46100475326014	1.52859221798073	1.4069744028926	1.45607679667233	2.24109684891208	1.56954189911438	2.60907133911838	1.58232661453839	2.20118093356678	1.74056579887478	2.6796556046999	0
