DRR091849_1.mature	DRR091848_1.mature	DRR091846_1.mature	DRR091847_1.mature	DRR091837_1.mature	DRR091839_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091841_1.mature	DRR091845_1.mature	DRR091844_1.mature	DRR091843_1.mature	DRR091842_1.mature
DRR091849_1.mature	0	42.7680437288396	60.1378064131544	61.4442543375965	58.8069477256317	58.9112792609872	58.4150989925952	59.1124069567964	48.9333314063616	52.7487111851766	57.2094819268009	52.0298386555976	52.2052063186753
DRR091848_1.mature	42.7680437288396	0	58.6647966083763	66.4430869366859	57.0486376175788	59.6814290744094	57.6779298921121	59.0025023943718	52.6822388860764	56.9756294202459	58.4462537091603	53.2709957661206	51.7122496613152
DRR091846_1.mature	60.1378064131544	58.6647966083763	0	48.4372954883061	66.7692604094388	68.3397241140673	67.0208489996903	67.2832733922	60.4964126757739	62.2912491529815	63.9111101972268	64.1705458424149	64.3611874800827
DRR091847_1.mature	61.4442543375965	66.4430869366859	48.4372954883061	0	68.6397046126207	67.9710181585664	68.5810061070813	68.0447572361929	61.5215322481856	60.5090770996387	63.5789003949684	63.4516839166318	64.3885724788649
DRR091837_1.mature	58.8069477256317	57.0486376175788	66.7692604094388	68.6397046126207	0	27.655393767521	26.5349600543469	26.2147101323013	43.8571188068782	47.2288278794863	38.1961306862423	36.3146656933759	40.3859694022779
DRR091839_1.mature	58.9112792609872	59.6814290744094	68.3397241140673	67.9710181585664	27.655393767521	0	25.9311850346327	26.1164510685682	46.0800906912866	49.6749006082986	40.6109692033409	35.613780331828	42.8881986043769
DRR091838_1.mature	58.4150989925952	57.6779298921121	67.0208489996903	68.5810061070813	26.5349600543469	25.9311850346327	0	23.8206154103842	42.3813200307707	47.6295355288051	42.884294708809	33.6791673655882	41.6324008806834
DRR091840_1.mature	59.1124069567964	59.0025023943718	67.2832733922	68.0447572361929	26.2147101323013	26.1164510685682	23.8206154103842	0	44.2124913548182	49.0716644872935	41.2342073111605	34.7208785464226	42.6188555679557
DRR091841_1.mature	48.9333314063616	52.6822388860764	60.4964126757739	61.5215322481856	43.8571188068782	46.0800906912866	42.3813200307707	44.2124913548182	0	38.6817362988715	44.2076742324271	37.4541010359752	36.9374415572394
DRR091845_1.mature	52.7487111851766	56.9756294202459	62.2912491529815	60.5090770996387	47.2288278794863	49.6749006082986	47.6295355288051	49.0716644872935	38.6817362988715	0	44.0421977881674	41.4404888285424	40.644910209267
DRR091844_1.mature	57.2094819268009	58.4462537091603	63.9111101972268	63.5789003949684	38.1961306862423	40.6109692033409	42.884294708809	41.2342073111605	44.2076742324271	44.0421977881674	0	37.5900384822302	37.9752375199787
DRR091843_1.mature	52.0298386555976	53.2709957661206	64.1705458424149	63.4516839166318	36.3146656933759	35.613780331828	33.6791673655882	34.7208785464226	37.4541010359752	41.4404888285424	37.5900384822302	0	35.0421986175063
DRR091842_1.mature	52.2052063186753	51.7122496613152	64.3611874800827	64.3885724788649	40.3859694022779	42.8881986043769	41.6324008806834	42.6188555679557	36.9374415572394	40.644910209267	37.9752375199787	35.0421986175063	0
