DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
hsa-miR-143-3p	249886.570917231	140571.173254507	292950.694810923	220702.401480873	292095.330946169	30509.0329497397	105106.255349926	46192.7190759906	408016.225747796	28233.9342123349	261701.639911796	57181.7178252667	294689.25345701
hsa-miR-26a-5p	148112.813323513	65023.177258964	114720.097239354	195519.094085962	224531.333535186	115252.993388041	53149.8269914601	240790.517374205	130163.600315063	41690.0196797287	65596.3011643602	321884.314020012	101889.321622921
hsa-miR-10b-5p	56966.1570251899	29435.8397724409	55723.9153557321	128695.023081023	95581.8053811311	22719.5093006759	97855.2625363368	191875.352581117	86497.4739328125	41275.8365459176	51921.5509958113	161554.392828759	86306.8098938298
hsa-let-7a-5p	34566.0885202863	54213.2606199143	46970.7286880291	60646.3513139782	43042.1805583932	102722.367063775	123753.708430076	36748.4760893087	47259.1708462903	93560.6445672633	97665.1048633403	124457.228302574	58940.6864886653
hsa-miR-27b-3p	47110.1503638912	34624.5997591847	63569.7516716011	49532.9395879302	58384.8041696792	12883.1159221518	22740.084213049	7784.90360812521	51291.4845426151	6822.80199505511	26423.2038810163	17122.3309078845	38598.5027090994
hsa-miR-22-3p	18898.2338414375	43349.5127798238	34851.8604472492	26515.8179184303	25070.9009734769	87517.8889565818	37610.982104215	10453.8380849073	56653.4043076388	63786.365443121	25187.8060119402	21291.6787775313	30801.1285148418
hsa-miR-191-5p	14263.2800158287	19934.3598110249	14086.1497056983	21187.754423648	19183.7236909436	117126.23128815	21401.7068282133	18980.2896608757	14152.3231211383	47039.5246854211	25529.3004467903	72348.5305368462	48073.2704078621
hsa-miR-148a-3p	8802.30311835	32682.8548340108	13830.9922037198	12595.7630959864	14305.9486431066	39234.9142518987	46268.4315157016	16854.3224482012	19898.6584941309	5601.61060117467	152697.10580221	31234.3717548972	20111.1439956835
hsa-miR-21-5p	15502.8177848955	47263.2485585455	9770.47736602719	13911.5316254917	17262.188514354	18150.8626185097	34739.1525579964	12983.3487795859	50316.9742473791	34175.9211617265	20993.5575420892	12561.9629949239	34724.725954369
hsa-let-7f-5p	13553.235614862	18743.8494967263	17186.5702247049	16912.0013525788	14340.6876762505	25383.8237445952	21149.1714831573	19404.6976173143	19185.2091878156	48423.1991494194	27756.0687536309	28775.1879763441	16304.0861697162
hsa-miR-10a-5p	14880.575024157	13356.9077049332	10402.7199816678	27101.9399088439	16412.2747363007	28421.4008946528	10957.8417391365	24947.0384203368	27575.1722816666	47553.4686393212	3945.75799997283	13863.1339140428	23597.232302638
hsa-miR-100-5p	32178.0013103738	18141.2239418686	20536.8395996756	32268.8236612611	31811.2066908619	6371.9876457036	7162.61828795381	1921.49536321627	21511.8657248242	1928.84436564978	11097.5613497247	1991.67344349546	21525.8377879558
hsa-miR-99b-5p	21967.76912059	11932.5101033534	14168.519342243	25919.3463317176	25772.8368401976	27850.2057419624	13358.8542873497	10603.0804432154	11497.0731235387	15887.5188968522	7367.61285980258	12293.4110143477	19599.2437431217
